name,susceptible,exposed,infected_tested,infected_nottested,removed_tested,removed_nottested
Bunnik,15154.939391367125,0.04260519725873076,0.000973618797994671,0.013630663171925395,0.00022661024309857583,0.003172543403380062
Eemnes,8999.986874679655,0.009272188012528219,0.00020873725712300381,0.0029223215997220536,4.813823174033405e-05,0.0006739352443646766
Houten,49299.829212002805,0.11968186269487283,0.002760792446561404,0.038651094251859655,0.0006462831867523823,0.009047964614533353
Leusden,29674.93562700651,0.04508488919240854,0.0010417468087667268,0.014584455322734176,0.00024412681123381466,0.003417775357273406
Lopik,14209.989204540721,0.007728093512549366,0.0001669920003884715,0.002337888005438601,3.7499050778239606e-05,0.0005249867108953545
Montfoort,13859.976069375014,0.016871133290439447,0.00038216439331692547,0.005350301506436957,8.846838639503697e-05,0.0012385574095305175
Renswoude,5099.989112974815,0.007653642184535291,0.0001748621392082291,0.0024480699489152075,4.069672743537049e-05,0.000569754184095187
Steenwijkerland,43449.9869698782,0.009193113882055723,0.00020776792450355838,0.002908750943049818,4.80326037988463e-05,0.0006724564531838483
Rhenen,19229.874560826327,0.0881753903073295,0.0020152076888854346,0.028212907644396084,0.0004690445355685599,0.006566623497959839
Soest,45869.918112524705,0.057408914101380874,0.00132254033039726,0.018515564625561642,0.00030936374903254665,0.004331092486455653
Utrecht,343011.9102462928,4.2626378055590965,0.16972421178437097,2.3761389649811937,0.08541684832772271,1.195835876588118
Veenendaal,64279.74916662973,0.17560901387515782,0.0040623529623406264,0.056872941472768765,0.0009526041300676844,0.01333645782094758
Woudenberg,12699.978425447855,0.015221072718847586,0.0003440321616129773,0.004816450262581682,7.95331334329624e-05,0.0011134638680614737
Cranendonck,20674.60156506762,0.27773713452616045,0.006508505785187501,0.09111908099262503,0.0015380140716743328,0.02153219700344066
Moerdijk,36929.839986446204,0.11186905388981512,0.0025986979508451627,0.03638177131183228,0.0006109353767759224,0.008553095274862912
Echt-Susteren,31814.841984252078,0.1104906142324601,0.0025654206017139735,0.03591588842399562,0.0006029216443119566,0.008440903020367393
Sluis,23654.976058923934,0.016756922780122193,0.00038793564047434837,0.005431098966640877,9.100791195373474e-05,0.0012741107673522865
Drimmelen,26869.91036906398,0.06306683581360537,0.001437073697696549,0.02011903176775169,0.0003338663164145853,0.004674128429804194
Wijk bij Duurstede,23504.965971784444,0.02416441318486806,0.0005353872561046336,0.0074954215854648705,0.00012219956895272307,0.0017107939653381225
IJsselstein,34209.94411584822,0.039485587067872314,0.0008884468966884366,0.012438256553638114,0.0002047907505786136,0.0028670705081005905
Zeist,62819.84021294793,0.11211935683037283,0.0025762014721794615,0.036066820610512466,0.0006016448773477553,0.008423028282868575
