name,gem_id,mobility_region,COVID2104_region,COVID2104_small_region,veiligheidsregio,mobility_veiligheidsregio
Bunschoten,313,7,7,79,Utrecht,14
Scherpenzeel,279,7,7,25,Gelderland-Midden,12
Tiel,281,7,7,54,Gelderland-Zuid,24
Voorst,285,3,6,13,Noord- en Oost-Gelderland,12
Wageningen,289,7,7,25,Gelderland-Midden,12
Winterswijk,294,4,8,45,Noord- en Oost-Gelderland,12
Wijchen,296,4,8,52,Gelderland-Zuid,24
Zaltbommel,297,8,0,65,Gelderland-Zuid,24
Zevenaar,299,4,8,55,Gelderland-Midden,12
Nunspeet,302,3,6,75,Noord- en Oost-Gelderland,12
Dronten,303,3,6,30,Flevoland,19
Neerijnen,304,7,7,54,Gelderland-Zuid,24
Amersfoort,307,7,7,79,Utrecht,14
Baarn,308,7,7,79,Utrecht,14
De Bilt,310,7,7,41,Utrecht,14
Bunnik,312,7,7,41,Utrecht,14
Eemnes,317,2,3,66,Utrecht,14
Houten,321,7,7,22,Utrecht,14
Leusden,327,7,7,79,Utrecht,14
Lopik,331,7,7,22,Utrecht,14
Montfoort,335,7,7,3,Utrecht,14
Renswoude,339,7,7,25,Utrecht,14
Steenwijkerland,1708,3,6,78,IJsselland,12
Rhenen,340,7,7,25,Utrecht,14
Soest,342,7,7,79,Utrecht,14
Utrecht,344,7,7,15,Utrecht,14
Veenendaal,345,7,7,25,Utrecht,14
Woudenberg,351,7,7,25,Utrecht,14
Cranendonck,1706,8,10,51,Brabant-Zuidoost,16
Moerdijk,1709,10,2,80,Midden- en West-Brabant,18
Echt-Susteren,1711,1,4,76,Limburg-Noord,2
Sluis,1714,10,2,63,Zeeland,18
Drimmelen,1719,10,2,5,Midden- en West-Brabant,18
Wijk bij Duurstede,352,7,7,41,Utrecht,14
IJsselstein,353,7,7,22,Utrecht,14
Zeist,355,7,7,41,Utrecht,14
Nieuwegein,356,7,7,22,Utrecht,14
Aalsmeer,358,2,3,37,Amsterdam-Amstelland,11
Alkmaar,361,9,3,81,Noord-Holland-Noord,11
Blaricum,376,2,3,66,Gooi en Vechtstreek,14
Amstelveen,362,2,3,37,Amsterdam-Amstelland,11
Amsterdam,363,2,3,73,Amsterdam-Amstelland,11
Beemster,370,2,3,9,Zaanstreek-Waterland,11
Bergen (NH.),373,9,3,81,Noord-Holland-Noord,11
Beverwijk,375,9,3,35,Kennemerland,11
Bladel,1728,8,10,50,Brabant-Zuidoost,16
Gulpen-Wittem,1729,1,4,7,Limburg-Zuid,2
Tynaarlo,1730,0,11,48,Drenthe,6
Eijsden-Margraten,1903,1,4,72,Limburg-Zuid,2
Stichtse Vecht,1904,7,7,15,Utrecht,14
Midden-Drenthe,1731,0,11,48,Drenthe,6
Overbetuwe,1734,4,8,55,Gelderland-Midden,12
Hof van Twente,1735,5,6,32,Twente,8
Neder-Betuwe,1740,7,7,54,Gelderland-Zuid,24
Geldrop-Mierlo,1771,8,10,23,Brabant-Zuidoost,16
Olst-Wijhe,1773,3,6,13,IJsselland,12
Dinkelland,1774,5,6,32,Twente,8
Bloemendaal,377,2,3,24,Kennemerland,11
Goeree-Overflakkee,1924,6,5,62,Rotterdam-Rijnmond,21
Castricum,383,9,3,35,Noord-Holland-Noord,11
Edam-Volendam,385,2,3,9,Zaanstreek-Waterland,11
Enkhuizen,388,9,3,20,Noord-Holland-Noord,11
Haarlem,392,2,3,24,Kennemerland,11
Haarlemmermeer,394,2,3,24,Kennemerland,11
Heemskerk,396,9,3,35,Kennemerland,11
Heerhugowaard,398,9,3,81,Noord-Holland-Noord,11
Hoorn,405,9,3,20,Noord-Holland-Noord,11
Heiloo,399,9,3,81,Noord-Holland-Noord,11
Den Helder,400,9,3,81,Noord-Holland-Noord,11
Hilversum,402,2,3,66,Gooi en Vechtstreek,14
Papendrecht,590,6,5,1,Zuid-Holland-Zuid,21
Huizen,406,2,3,66,Gooi en Vechtstreek,14
