name,code2018,code2019,rivm,inhabitant_frac_new
Meerssen,938,938,Meerssen,1.0
Nuth,951,1954,Beekdaelen,0.4237264673311185
Roermond,957,957,Roermond,1.0
Schinnen,962,1954,Beekdaelen,0.3588039867109635
Simpelveld,965,965,Simpelveld,1.0
Venray,984,984,Venray,1.0
Teylingen,1525,1525,Teylingen,1.0
Heeze-Leende,1658,1658,Heeze-Leende,1.0
Laarbeek,1659,1659,Laarbeek,1.0
De Marne,1663,1966,Het Hogeland,0.20210843373493975
Lingewaard,1705,1705,Lingewaard,1.0
Bernheze,1721,1721,Bernheze,1.0
Ferwerderadiel,1722,1970,Noardeast-Fryslân,0.19178383128295254
Alphen-Chaam,1723,1723,Alphen-Chaam,1.0
Bergeijk,1724,1724,Bergeijk,1.0
Rijssen-Holten,1742,1742,Rijssen-Holten,1.0
Westland,1783,1783,Westland,1.0
Midden-Delfland,1842,1842,Midden-Delfland,1.0
Berkelland,1859,1859,Berkelland,1.0
Bronckhorst,1876,1876,Bronckhorst,1.0
Sittard-Geleen,1883,1883,Sittard-Geleen,1.0
Kaag en Braassem,1884,1884,Kaag en Braassem,1.0
Dantumadiel,1891,1891,Dantumadiel,1.0
Zuidplas,1892,1892,Zuidplas,1.0
Peel en Maas,1894,1894,Peel en Maas,1.0
Oldambt,1895,1895,Oldambt,1.0
Zwartewaterland,1896,1896,Zwartewaterland,1.0
Súdwest-Fryslân,1900,1900,Súdwest-Fryslân,1.0
Bodegraven-Reeuwijk,1901,1901,Bodegraven-Reeuwijk,1.0
Hollands Kroon,1911,1911,Hollands Kroon,1.0
Leidschendam-Voorburg,1916,1916,Leidschendam-Voorburg,1.0
Pijnacker-Nootdorp,1926,1926,Pijnacker-Nootdorp,1.0
Molenwaard,1927,1978,Molenlanden,0.666895055384264
Gooise Meren,1942,1942,Gooise Meren,1.0
Berg en Dal,1945,1945,Berg en Dal,1.0
Meierijstad,1948,1948,Meierijstad,1.0
Waadhoeke,1949,1949,Waadhoeke,1.0
Westerwolde,1950,1950,Westerwolde,1.0
